id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.487586,0.0011855023,0.0039323615,9.568242e-05,0.021517914,0.14162119,0.41729555
19220,0.22669949,0.013797882,0.012153666,0.0002199647,0.20656215,0.13822956,0.33299422
19221,0.0022481894,0.039814834,0.037461426,0.00024903228,0.009541349,0.26368722,0.515962
19222,0.17258105,0.0014905438,0.0006884798,0.0013300248,0.022126485,0.3319795,0.39732364
19223,0.0024507223,0.0014695486,0.0011820924,0.0013316142,0.0093329325,0.62775075,0.41834947
19224,0.08368724,0.2719336,0.0034558713,0.0001686312,0.076755464,0.10779897,0.24374984
19225,0.38437396,0.0012786137,0.0021745688,0.00012240524,0.043045577,0.07317269,0.5498105
19226,0.0121933,0.23630616,0.0037079258,0.004974102,0.09194144,0.2377082,0.45063826
19227,0.00073266705,0.23086591,0.32762143,0.002115788,0.010513305,0.1459819,0.38316482
19228,0.3423309,0.010156754,0.00091587164,0.00012733835,0.002753111,0.2074974,0.40830866
19229,0.0010550723,0.025750576,0.0009431298,0.0025554164,0.049674325,0.27420908,0.5169093
19230,0.0004188376,0.0014868092,0.9201884,0.0001447239,0.00058502174,0.0019526669,0.06845923
19231,0.00046275507,0.0012921417,0.9423294,0.00016291092,0.00065642915,0.0023282918,0.07165149
19232,0.08873192,0.0072434167,0.0015179544,0.00013215358,0.043896142,0.09860164,0.5414545
19233,0.0025114075,0.0055896174,0.00090842095,0.0015601797,0.028015273,0.50174737,0.4349552
19234,0.0011363751,0.0196308,0.0012602103,0.0025788993,0.010359588,0.42383873,0.5166895
19235,0.037398335,0.0025443328,0.0010177774,0.00045378288,0.005070625,0.643905,0.21378385
19236,0.065843366,0.018984962,0.044670705,0.00033428942,0.14905307,0.15375353,0.47311205
19237,0.14011393,0.0011764432,0.0005630463,0.00084549875,0.0053290147,0.5751365,0.20876755
19238,0.00074263377,0.49831733,0.0015724937,0.0022566605,0.011377621,0.23935091,0.34168854
19239,0.0005412174,0.0016776881,0.9056787,0.00014866302,0.00047884719,0.002316652,0.09066116
19240,0.14932774,0.0015837295,0.0013597304,0.0007846301,0.08068747,0.19542325,0.57429063
19241,0.002074315,0.0019952434,0.0009441471,0.0005358086,0.038235337,0.4477706,0.5412289
19242,0.0031167665,0.0006389091,0.9454139,0.00019500828,0.001060411,0.0015187243,0.062750675
19243,0.06365266,0.4675073,0.0033268724,0.0002785648,0.008031937,0.21573414,0.3935533
19244,0.00043356637,0.0013533031,0.9390705,0.00014925988,0.00048832287,0.0020829807,0.07669143
19245,0.114948794,0.023081036,0.0011052066,0.00010975813,0.013498568,0.12510411,0.50132453
19246,0.3720765,0.03152166,0.0042180284,0.0003074085,0.03116364,0.14990546,0.3868177
19247,0.005776135,0.25561637,0.046039402,0.00018011779,0.010068986,0.25281745,0.34491223
19248,0.0011740582,0.004296323,0.80588263,0.00032957536,0.0007032885,0.012067666,0.15946004
19249,0.019369163,0.0068178596,0.0008653421,0.00015930863,0.0023886168,0.47525242,0.46480364
19250,0.004239944,0.0021560397,0.003443537,0.86851,0.01703305,0.016262395,0.2920408
19251,0.06566484,0.0014829519,0.00060571916,0.002431091,0.030814674,0.5332162,0.3396312
19252,0.008154652,0.19115293,0.0010944438,0.0010196693,0.004981875,0.39028522,0.22199537
19253,0.010803961,0.0018605315,0.707155,0.003542059,0.01379709,0.09746047,0.32869533
19254,0.0012856771,0.040013276,0.0011909492,0.00071963033,0.018235339,0.29966867,0.5407948
19255,0.41400278,0.0009324832,0.001590252,0.00014408513,0.0044043283,0.16609955,0.5331321
19256,0.0075275195,0.6779912,0.00066503364,0.00051498704,0.0034231318,0.14484562,0.27870303
19257,0.0744879,0.015438202,0.013813125,0.0006068138,0.13132909,0.24273132,0.33928856
19258,0.36302397,0.004420443,0.00089108467,0.00040505413,0.0024801688,0.19589774,0.4546453
19259,0.00079578225,0.0011652269,0.9552282,0.00014885465,0.00056638074,0.0019526669,0.055015896
19260,0.015010255,0.108581536,0.0016071827,0.00038707964,0.016599646,0.3220225,0.43272296
19261,0.10195968,0.008313251,0.5529233,0.00017156778,0.008740174,0.014560326,0.17341697
19262,0.17493385,0.023208212,0.0017037336,0.00013882609,0.02546229,0.21084817,0.33363128
19263,0.044837683,0.0093248235,0.0010853192,0.00075490295,0.011182349,0.44396544,0.3416942
19264,0.044633206,0.0030425526,0.0014319555,0.0005282185,0.024056967,0.5366593,0.35415506
19265,0.041101355,0.0038913297,0.0005693918,0.0032396289,0.009847879,0.47505894,0.40700084
19266,0.00043767388,0.0026564165,0.8904195,0.00014111622,0.0004986656,0.0019526669,0.10468829
19267,0.11619129,0.008236507,0.00071054645,0.0006270799,0.080590405,0.2570269,0.33354986
19268,0.0011921591,0.026082117,0.0031633887,0.0009729744,0.011901079,0.16146517,0.7799418
19269,0.00044096718,0.0012650171,0.9237275,0.00014128075,0.0005421408,0.0023149091,0.056034375
19270,0.21562567,0.007347969,0.0049417517,0.0002454591,0.7715024,0.045971926,0.22018509
19271,0.012820538,0.017436283,0.07824339,0.00045373166,0.021388032,0.21908446,0.6824433
19272,0.33980712,0.004566088,0.02390821,0.00043808128,0.07936858,0.22181283,0.2571964
